TANGGAL,ISPU_PM2_5
8/17/2023,80
8/18/2023,79
8/19/2023,78
8/20/2023,80
8/21/2023,82
8/22/2023,89
8/23/2023,87
8/24/2023,88
8/25/2023,88
8/26/2023,89
8/27/2023,90
8/28/2023,82
8/29/2023,89
8/30/2023,91
8/31/2023,93
9/1/2023,95
9/2/2023,97
9/3/2023,84
9/4/2023,83
9/5/2023,82
9/6/2023,82
9/7/2023,82
9/8/2023,82
9/9/2023,82
9/10/2023,75
9/11/2023,73
9/12/2023,79
9/13/2023,78
9/14/2023,77
9/15/2023,77
9/16/2023,86
9/17/2023,82
9/18/2023,78
9/19/2023,80
9/20/2023,82
9/21/2023,80
9/22/2023,75
9/23/2023,70
9/24/2023,70
9/25/2023,73
9/26/2023,73.5
9/27/2023,74
9/28/2023,75
9/29/2023,83
9/30/2023,88.5
10/1/2023,94
10/2/2023,90.5
10/3/2023,87
10/4/2023,83.5
10/5/2023,80
10/6/2023,86
10/7/2023,92
10/8/2023,83
10/9/2023,74
10/10/2023,69
10/11/2023,77
10/12/2023,83
10/13/2023,93
10/14/2023,93
10/15/2023,93
10/16/2023,93
10/17/2023,93
10/18/2023,93
10/19/2023,93
10/20/2023,76
10/21/2023,83
10/22/2023,85.67
10/23/2023,88.33
10/24/2023,91
10/25/2023,79
10/26/2023,82
10/27/2023,80
10/28/2023,87
10/29/2023,81
10/30/2023,72
10/31/2023,72.25
11/1/2023,72.5
11/2/2023,72.75
11/3/2023,73
11/4/2023,71.33
11/5/2023,69.67
11/6/2023,68
11/7/2023,87
11/8/2023,78
11/9/2023,74
11/10/2023,74
11/11/2023,68
11/12/2023,68
11/13/2023,64
11/14/2023,67
11/15/2023,67
11/16/2023,67
11/17/2023,74
11/18/2023,79
11/19/2023,74
11/20/2023,69
11/21/2023,77
11/22/2023,68
11/23/2023,83
11/24/2023,83
11/25/2023,93
11/26/2023,69
11/27/2023,78
11/28/2023,78
11/29/2023,86
11/30/2023,86
12/1/2023,86
12/2/2023,80
12/3/2023,80
12/4/2023,70
12/5/2023,70
12/6/2023,85
12/7/2023,85
12/8/2023,83
12/9/2023,83
12/10/2023,83
12/11/2023,86
12/12/2023,82
12/13/2023,83
12/14/2023,83
12/15/2023,83
12/16/2023,81
12/17/2023,81
12/18/2023,78
12/19/2023,79
12/20/2023,79
12/21/2023,80
12/22/2023,95
12/23/2023,95
12/24/2023,110
12/25/2023,96
12/26/2023,93
12/27/2023,90
12/28/2023,87
12/29/2023,84
12/30/2023,84
12/31/2023,79
1/1/2024,100
1/2/2024,94
1/3/2024,71
1/4/2024,73
1/5/2024,71
1/6/2024,69
1/7/2024,77
1/8/2024,76
1/9/2024,73
1/10/2024,74
1/11/2024,81
1/12/2024,61
1/13/2024,67
1/14/2024,73
1/15/2024,79
1/16/2024,63
1/17/2024,71
1/18/2024,54
1/19/2024,37
1/20/2024,54
1/21/2024,65
1/22/2024,50
1/23/2024,52
1/24/2024,66
1/25/2024,58
1/26/2024,63
1/27/2024,67
1/28/2024,65
1/29/2024,77
1/30/2024,89
1/31/2024,60
2/1/2024,72
2/2/2024,58
2/3/2024,50
2/4/2024,53
2/5/2024,79
2/6/2024,80
2/7/2024,59
2/8/2024,78
2/9/2024,70
2/10/2024,69
2/11/2024,71
2/12/2024,68
2/13/2024,74
2/14/2024,61
2/15/2024,76
2/16/2024,90
2/17/2024,80
2/18/2024,66
2/19/2024,78
2/20/2024,76.67
2/21/2024,75.33
2/22/2024,74
2/23/2024,72.67
2/24/2024,71.33
2/25/2024,70
2/26/2024,68.67
2/27/2024,67.33
2/28/2024,66
2/29/2024,64.67
3/1/2024,63.33
3/2/2024,62
3/3/2024,60.67
3/4/2024,59.33
3/5/2024,58
3/6/2024,63
3/7/2024,53
3/8/2024,42
3/9/2024,50
3/10/2024,74
3/11/2024,70
3/12/2024,67
3/13/2024,70
3/14/2024,65
3/15/2024,56
3/16/2024,28
3/17/2024,27
3/18/2024,46
3/19/2024,65
3/20/2024,65
3/21/2024,70
3/22/2024,65
3/23/2024,79
3/24/2024,73
3/25/2024,69
3/26/2024,78
3/27/2024,86
3/28/2024,96
3/29/2024,81
3/30/2024,73
3/31/2024,72
4/1/2024,90
4/2/2024,84
4/3/2024,88
4/4/2024,70
4/5/2024,99
4/6/2024,92
4/7/2024,84
4/8/2024,77.5
4/9/2024,71
4/10/2024,64.5
4/11/2024,58
4/12/2024,59
4/13/2024,61
4/14/2024,57
4/15/2024,54
4/16/2024,57.14
4/17/2024,60.29
4/18/2024,63.43
4/19/2024,66.57
4/20/2024,69.71
4/21/2024,72.86
4/22/2024,76
4/23/2024,81
4/24/2024,70
4/25/2024,66.5
4/26/2024,63
4/27/2024,64
4/28/2024,72
4/29/2024,75
4/30/2024,79
5/1/2024,73
5/2/2024,78
5/3/2024,77
5/4/2024,76
5/5/2024,75
5/6/2024,74
5/7/2024,85
5/8/2024,94
5/9/2024,93
5/10/2024,83
5/11/2024,80
5/12/2024,81
5/13/2024,72
5/14/2024,74
5/15/2024,77
5/16/2024,88
5/17/2024,79
5/18/2024,74
5/19/2024,76
5/20/2024,86
5/21/2024,82
5/22/2024,83
5/23/2024,76
5/24/2024,73
5/25/2024,59
5/26/2024,71
5/27/2024,76
5/28/2024,82
5/29/2024,75
5/30/2024,72
5/31/2024,69
6/1/2024,66
6/2/2024,63
6/3/2024,60
6/4/2024,77
6/5/2024,79
6/6/2024,63
6/7/2024,77
6/8/2024,83
6/9/2024,80
6/10/2024,72
6/11/2024,66
6/12/2024,58
6/13/2024,76
6/14/2024,81
6/15/2024,74
6/16/2024,71
6/17/2024,85
6/18/2024,152
6/19/2024,133
6/20/2024,89
6/21/2024,106
6/22/2024,103
6/23/2024,103
6/24/2024,104
6/25/2024,98
6/26/2024,92
6/27/2024,77
6/28/2024,72
6/29/2024,88
6/30/2024,67
7/1/2024,92
7/2/2024,81
7/3/2024,110
7/4/2024,82
7/5/2024,72
7/6/2024,63
7/7/2024,34
7/8/2024,41.5
7/9/2024,49
7/10/2024,56.5
7/11/2024,64
7/12/2024,71.5
7/13/2024,79
7/14/2024,86.5
7/15/2024,94
7/16/2024,87
7/17/2024,97
7/18/2024,93
7/19/2024,84
7/20/2024,92
7/21/2024,88
7/22/2024,82
7/23/2024,87
7/24/2024,86
7/25/2024,74
7/26/2024,80
7/27/2024,91
7/28/2024,103
7/29/2024,103
7/30/2024,94
7/31/2024,103
8/1/2024,101
8/2/2024,88
8/3/2024,67
8/4/2024,70
8/5/2024,74
8/6/2024,83
8/7/2024,93
8/8/2024,113
8/9/2024,108
8/10/2024,86
8/11/2024,87
8/12/2024,77
8/13/2024,99
8/14/2024,99
8/15/2024,101
8/16/2024,99
8/17/2024,106
8/18/2024,103
8/19/2024,97
8/20/2024,105
8/21/2024,105
8/22/2024,100
8/23/2024,93
8/24/2024,97
8/25/2024,97
8/26/2024,101
8/27/2024,103
8/28/2024,87
8/29/2024,96
8/30/2024,87
8/31/2024,76
9/1/2024,81
9/2/2024,86
9/3/2024,85
9/4/2024,75
9/5/2024,72
