TANGGAL,ISPU_PM2_5
2024-12-04,39.29
2024-12-05,42.57
2024-12-06,45.86
2024-12-07,49.14
2024-12-08,52.43
2024-12-09,55.71
2024-12-10,59.0
2024-12-11,20.0
2024-12-12,43.0
2024-12-13,53.0
2024-12-14,54.0
2024-12-15,41.0
2024-12-16,52.0
2024-12-17,45.0
2024-12-18,69.0
2024-12-19,56.0
2024-12-20,51.0
2024-12-21,56.0
2024-12-22,61.0
2024-12-23,66.0
2024-12-24,71.0
2024-12-25,76.0
2024-12-26,81.0
2024-12-27,86.0
2024-12-28,77.5
2024-12-29,69.0
2024-12-30,60.5
2024-12-31,52.0
2025-01-01,78.0
