TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
2/17/2024,61,80,52,20,12,21,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
2/18/2024,49,66,51,14,16,0,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
2/19/2024,54,78,50,18,20,6,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/20/2024,,,,,,,,,,,,,
2/21/2024,,,,,,,,,,,,,
2/22/2024,,,,,,,,,,,,,
2/23/2024,,,,,,,,,,,,,
2/24/2024,,,,,,,,,,,,,
2/25/2024,,,,,,,,,,,,,
2/26/2024,,,,,,,,,,,,,
2/27/2024,,,,,,,,,,,,,
2/28/2024,,,,,,,,,,,,,
2/29/2024,,,,,,,,,,,,,
3/1/2024,,,,,,,,,,,,,
3/2/2024,,,,,,,,,,,,,
3/3/2024,,,,,,,,,,,,,
3/4/2024,,,,,,,,,,,,,
3/5/2024,46,58,51,10,14,68,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/6/2024,48,63,50,8,11,59,BAIK,SEDANG,BAIK,BAIK,BAIK,SEDANG,SEDANG
3/7/2024,40,53,50,6,11,53,BAIK,SEDANG,BAIK,BAIK,BAIK,SEDANG,SEDANG
3/8/2024,34,42,50,4,13,42,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK
3/9/2024,34,50,50,12,12,49,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK
3/10/2024,56,74,51,21,12,93,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/11/2024,54,70,51,21,10,82,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/12/2024,45,67,52,9,16,65,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/13/2024,54,70,52,9,17,45,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
3/14/2024,54,65,51,11,17,52,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/15/2024,51,56,51,10,12,63,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/16/2024,17,28,51,5,12,56,BAIK,BAIK,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/17/2024,18,27,51,5,11,62,BAIK,BAIK,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/18/2024,27,46,51,6,11,53,BAIK,BAIK,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/19/2024,44,65,51,9,11,76,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/20/2024,55,65,51,8,10,74,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/21/2024,55,70,51,9,15,67,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/22/2024,50,65,51,14,17,57,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/23/2024,43,79,51,29,12,97,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/24/2024,54,73,51,11,26,31,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
3/25/2024,51,69,51,9,27,31,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
3/26/2024,51,78,51,15,21,56,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/27/2024,60,86,52,19,22,54,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/28/2024,64,96,51,25,20,73,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/29/2024,59,81,51,15,22,55,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
3/30/2024,51,73,51,17,20,49,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
3/31/2024,50,72,51,16,19,49,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
