name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.1535777, 106.910887",5/7/2023,32.5,25.3,28.3,40.7,25.3,32.3,25.2,84.4,17.74,100,8.33,rain,0,0,20.5,21.3,228.3,1007.7,57.5,5.3,159.8,13.8,6,10,2023-05-07T05:52:53,2023-05-07T17:45:02,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/8/2023,33.8,25,28,42,25,31.3,24.6,82.6,0,0,0,rain,0,0,12.6,19.6,223,1008.3,55.2,6.3,169.5,14.6,7,30,2023-05-08T05:52:57,2023-05-08T17:44:51,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/9/2023,33.8,25.2,29.6,41.7,25.2,34.6,25.2,78.6,0.01,100,4.17,rain,0,0,20.5,19.3,93.6,1008.6,42.5,6,229.7,19.9,8,30,2023-05-09T05:53:01,2023-05-09T17:44:40,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/10/2023,34,26.2,30.2,40.8,26.2,36.9,25.7,78.3,0,0,0,rain,0,0,27.7,25.6,74.9,1008.6,47.4,5.6,230.5,19.9,9,60,2023-05-10T05:53:06,2023-05-10T17:44:30,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/11/2023,31.8,27.2,29.2,40.4,31.3,35.2,25.4,80.1,0,0,0,rain,0,0,37.4,28.7,92.9,1010,46.6,5.9,186.6,16.1,7,30,2023-05-11T05:53:11,2023-05-11T17:44:21,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/12/2023,34,27.2,30.5,42,30.3,36.6,24.9,73.1,0.008,100,4.17,rain,0,0,36.7,35.3,81.5,1010.4,40.9,7.5,231.4,20,8,30,2023-05-12T05:53:17,2023-05-12T17:44:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.1535777, 106.910887",5/13/2023,34,25.2,28.9,42.2,25.2,33.9,25.8,84.8,10.719,100,12.5,rain,0,0,19.8,18.6,135.3,1010.9,44.6,6.3,235.3,20.5,8,30,2023-05-13T05:53:23,2023-05-13T17:44:05,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/14/2023,34.4,25.3,29.4,38,25.3,31.9,22.9,71.4,0.345,100,4.17,rain,0,0,20.2,19.9,67.2,1011.5,39.8,6.5,240.3,20.8,9,30,2023-05-14T05:53:29,2023-05-14T17:43:58,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.1535777, 106.910887",5/15/2023,33,24.8,29.2,37.5,24.8,32.4,23.1,70.7,0,0,0,rain,0,0,23,15.4,257.7,1011.2,40.4,6.6,240.5,20.8,8,10,2023-05-15T05:53:36,2023-05-15T17:43:51,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/16/2023,33.1,26,29.7,37.2,26,33.8,23.7,71.9,0,0,0,,0,0,19.1,16.9,68.2,1011.8,41.4,6.4,223.2,19.2,8,10,2023-05-16T05:53:43,2023-05-16T17:43:46,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
