name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.28889, 106.90919",2/20/2022,31,25,27.3,37.7,25,30.2,24.7,86.2,1.888,100,12.5,rain,0,0,24.5,14.8,197.2,1009.6,48.7,5.2,229.4,19.8,8,60,2022-02-20T05:57:48,2022-02-20T18:14:24,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/21/2022,33,24,28.1,39.2,24,31.1,23.4,76.8,0.633,100,8.33,rain,0,0,26.6,18.3,307.9,1009.1,50.8,5.9,230.7,19.9,9,30,2022-02-21T05:57:52,2022-02-21T18:14:07,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/22/2022,33,24,28.6,37.7,24,31.8,23.5,75.5,3.122,100,4.17,rain,0,0,31.7,18.4,271.8,1009.7,44.1,6.1,258.4,22.3,9,30,2022-02-22T05:57:54,2022-02-22T18:13:49,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/23/2022,32.9,24,28.1,39.1,24,30.7,23,75.3,11.026,100,12.5,rain,0,0,33.5,29.5,273.4,1010.4,47.1,6,209.1,18,8,30,2022-02-23T05:57:57,2022-02-23T18:13:31,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/24/2022,33,23,27.8,34.9,23,29.3,21.8,72.6,4.164,100,12.5,rain,0,0,33.5,33.3,248.6,1010.3,44.4,6.6,139.9,12.2,5,10,2022-02-24T05:57:58,2022-02-24T18:13:12,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/25/2022,30,24,26.8,33.3,24,27.9,22.7,79.3,3.796,100,12.5,rain,0,0,32.4,30.9,250.6,1010.2,50.9,6.2,136.5,11.6,5,10,2022-02-25T05:57:59,2022-02-25T18:12:53,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/26/2022,31,24,26.4,36.5,24,27.6,23.3,83.9,1.777,100,12.5,rain,0,0,59.4,31.6,249.9,1009.8,49.1,6.3,191.5,16.5,8,10,2022-02-26T05:58:00,2022-02-26T18:12:32,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/27/2022,31,24,27,36.5,24,29,23.7,82.6,3.639,100,8.33,rain,0,0,43.9,27.7,256.7,1009.4,40.9,6.5,222.2,19.2,9,10,2022-02-27T05:58:00,2022-02-27T18:12:12,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/28/2022,30,25,27.3,35.1,25,29.7,23.9,82.4,3.905,100,20.83,rain,0,0,41.8,20.5,256.4,1008.8,49.7,6.5,228.5,19.6,9,10,2022-02-28T05:57:59,2022-02-28T18:11:51,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",3/1/2022,29,23,25.7,33.6,23,26.9,23.8,89.8,15.819,100,29.17,rain,0,0,41.8,24.1,256.3,1009.2,57.3,5.4,195.1,16.8,8,10,2022-03-01T05:57:58,2022-03-01T18:11:29,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
