name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.207349, 106.753187",8/10/2022,33.4,24,28.6,38.8,24,31.5,23.5,75.8,0.008,100,4.17,rain,0,0,21.2,20.1,87.4,1009.2,42.6,6.4,243.6,21.2,9,30,2022-08-10T06:01:56,2022-08-10T17:55:01,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/11/2022,33.5,25,29.1,40,25,32.6,24,75.4,0.087,100,8.33,rain,0,0,21.2,19.3,81.5,1009,45.2,6.9,248.9,21.4,8,30,2022-08-11T06:01:39,2022-08-11T17:54:59,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/12/2022,33,26,28.8,39.3,26,32.2,23.7,75,0.85,100,12.5,rain,0,0,21.2,18.5,80.7,1009.2,49.5,6.8,233,20.3,9,30,2022-08-12T06:01:21,2022-08-12T17:54:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/13/2022,33,24,28.2,38.1,24,31.3,23.5,76.4,0.08,100,8.33,rain,0,0,22,25.9,62.2,1009.4,42.2,7.1,236.9,20.4,8,30,2022-08-13T06:01:03,2022-08-13T17:54:55,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/14/2022,33,24,28.5,39.3,24,31.7,23.3,74.8,0.7,100,12.5,rain,0,0,40.7,27.7,93.7,1009.3,40.8,7.1,234.9,20.2,9,30,2022-08-14T06:00:44,2022-08-14T17:54:53,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/15/2022,32,24,28.4,37.9,24,31.3,23.3,74.8,1.367,100,4.17,rain,0,0,19.1,18.4,81.5,1010.1,54.7,6.5,195.7,16.9,7,30,2022-08-15T06:00:24,2022-08-15T17:54:50,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/16/2022,32,25,27.9,37.7,25,30.4,23.5,77.8,1.357,100,4.17,rain,0,0,22.3,14.8,277.6,1010.3,63.4,5.9,224.7,19.3,8,30,2022-08-16T06:00:03,2022-08-16T17:54:46,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/17/2022,32,25,28.2,38.6,25,31.3,23.7,77.2,3.9,100,12.5,rain,0,0,26.6,27.7,95.7,1010.1,49.9,6.8,213.6,18.4,8,30,2022-08-17T05:59:42,2022-08-17T17:54:42,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/18/2022,33,26,28.8,37,26,31.5,22.3,68.8,0,0,0,,0,0,24.5,33.5,97.6,1009.2,46.2,7.6,250.6,21.7,9,30,2022-08-18T05:59:21,2022-08-18T17:54:38,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/19/2022,34,25,29.3,37.7,25,31.9,22.2,67,0,0,0,,0,0,26.6,30,92,1009,39.8,7.9,271.1,23.4,9,10,2022-08-19T05:58:59,2022-08-19T17:54:33,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
