name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.236658728205383, 106.79319751533286",8/4/2022,31,24,27.6,37.7,24,30.5,24.8,85.8,13.48,100,25,rain,0,0,31.7,22.6,1.4,1009.9,63.4,5.9,177,15.4,6,30,2022-08-04T06:03:18,2022-08-04T17:54:46,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",8/5/2022,30.2,25,27.4,36.2,25,30.3,24.8,86.2,12.28,100,12.5,rain,0,0,22.3,21.8,329.7,1010.2,57.7,6.3,204.6,17.7,7,10,2022-08-05T06:03:05,2022-08-05T17:54:48,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",8/6/2022,32,24,27.8,36.8,24,30.2,23.7,79.5,4.113,100,8.33,rain,0,0,15.5,21.6,352.1,1010,49.3,6.3,238.7,20.6,8,30,2022-08-06T06:02:51,2022-08-06T17:54:49,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",8/7/2022,32,24,27.8,37.7,24,30.5,23.9,80.5,2.182,100,12.5,rain,0,0,38.9,16.6,19.4,1009.6,51.4,6.4,241,20.9,8,30,2022-08-07T06:02:36,2022-08-07T17:54:50,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",8/8/2022,32,24,28.2,36.9,24,31.3,23.5,76.5,0,0,0,rain,0,0,18,18.4,320.1,1008.9,44.2,6.8,254.6,22.1,9,10,2022-08-08T06:02:21,2022-08-08T17:54:50,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",8/9/2022,32,25,28.6,37.9,25,31.7,23.5,74.9,1.486,100,8.33,rain,0,0,17.3,16.4,359,1008.8,50.4,6.8,239,20.6,8,10,2022-08-09T06:02:05,2022-08-09T17:54:50,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",8/10/2022,33.8,24,28.7,38.5,24,31.5,23.4,74.6,0.008,100,4.17,rain,0,0,21.2,21.4,91.7,1009.2,43.9,6.2,243.6,21.2,9,30,2022-08-10T06:01:49,2022-08-10T17:54:49,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",8/11/2022,33.8,25,29.2,39.6,25,32.6,23.9,74.7,0.076,100,8.33,rain,0,0,21.2,21.7,81.8,1009,44.9,6.6,248.9,21.4,8,30,2022-08-11T06:01:31,2022-08-11T17:54:48,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",8/12/2022,33,26,28.8,39.3,26,32.4,23.6,74.3,0.738,100,12.5,rain,0,0,21.2,20,108.2,1009.2,50.8,6.6,233,20.3,9,30,2022-08-12T06:01:14,2022-08-12T17:54:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",8/13/2022,33,24,28.3,38.1,24,31.4,23.5,76.2,0.08,100,8.33,rain,0,0,22,25.9,56.8,1009.4,42.1,7,236.9,20.4,8,30,2022-08-13T06:00:55,2022-08-13T17:54:44,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
