TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
2022-09-14,52.0,75.0,44.0,13.0,35.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-16,,,,,,,,,,,,,
2022-09-18,70.0,95.0,41.0,12.0,35.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-21,65.0,89.0,42.0,14.0,31.0,14.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-22,63.0,86.0,41.0,12.0,30.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-23,58.0,74.0,43.0,12.0,32.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-25,,,,,,,,,,,,,
2022-09-26,,,,,,,,,,,,,
2022-09-27,,,,,,,,,,,,,
2022-09-28,,,,,,,,,,,,,
2022-09-29,,,,,,,,,,,,,
2022-09-30,,,,,,,,,,,,,
2022-10-01,64.0,79.0,48.0,10.0,23.0,14.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-02,57.0,68.0,43.0,11.0,24.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-03,58.0,71.0,45.0,11.0,21.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-04,57.0,64.0,45.0,10.0,28.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-05,51.0,62.0,43.0,12.0,30.0,14.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-06,55.0,68.0,44.0,13.0,25.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-07,,,,,,,,,,,,,
2022-10-09,,,,,,,,,,,,,
2022-10-11,77.0,105.0,50.0,19.0,33.0,21.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-10-12,61.0,85.0,55.0,15.0,28.0,23.0,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
2022-10-13,60.0,67.0,52.0,13.0,28.0,20.0,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
2022-10-14,48.0,60.0,44.0,11.0,28.0,11.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-15,54.0,62.0,44.0,8.0,31.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-16,52.0,64.0,41.0,12.0,32.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-18,54.0,70.0,41.0,13.0,34.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
