datetime,station_name,ispu_pm25
3/28/2022,bundaran_hi,54.25
3/28/2022,jagakarsa,53.19
3/28/2022,kebun_jeruk,62.56
3/28/2022,kelapa_gading,49.98
3/28/2022,lubang_buaya,59.5
3/29/2022,bundaran_hi,62.57
3/29/2022,jagakarsa,76.38
3/29/2022,kebun_jeruk,87.05
3/29/2022,kelapa_gading,57
3/29/2022,lubang_buaya,64.95
3/30/2022,bundaran_hi,64.38
3/30/2022,jagakarsa,78.81
3/30/2022,kebun_jeruk,92.71
3/30/2022,kelapa_gading,65.35
3/30/2022,lubang_buaya,81.43
3/31/2022,bundaran_hi,105.75
3/31/2022,jagakarsa,42.5
3/31/2022,kebun_jeruk,67.45
3/31/2022,kelapa_gading,53.2
3/31/2022,lubang_buaya,117.75
4/1/2022,bundaran_hi,84.45
4/1/2022,jagakarsa,77.14
4/1/2022,kebun_jeruk,93.36
4/1/2022,kelapa_gading,85.73
4/1/2022,lubang_buaya,97.32
4/2/2022,bundaran_hi,70.05
4/2/2022,jagakarsa,69.3
4/2/2022,kebun_jeruk,72.3
4/2/2022,kelapa_gading,71.09
4/2/2022,lubang_buaya,77.15
4/3/2022,bundaran_hi,51.62
4/3/2022,jagakarsa,58.62
4/3/2022,kebun_jeruk,58.5
4/3/2022,kelapa_gading,50.36
4/3/2022,lubang_buaya,49.19
4/4/2022,bundaran_hi,47.77
4/4/2022,jagakarsa,51.59
4/4/2022,kebun_jeruk,65.05
4/4/2022,kelapa_gading,39.52
4/4/2022,lubang_buaya,54.36
4/5/2022,bundaran_hi,67.05
4/5/2022,jagakarsa,55.14
4/5/2022,kebun_jeruk,73.14
4/5/2022,kelapa_gading,63.01
4/5/2022,lubang_buaya,82.14
4/6/2022,bundaran_hi,60.96
4/6/2022,jagakarsa,52.52
4/6/2022,kebun_jeruk,69.43
4/6/2022,kelapa_gading,64
4/6/2022,lubang_buaya,66.13
4/7/2022,bundaran_hi,60.59
4/7/2022,jagakarsa,54.23
4/7/2022,kebun_jeruk,72.73
4/7/2022,kelapa_gading,63.95
