system:index,Optical_Depth_047,date,name,.geo
MCD19A2_A2000271_h28v09_061_2022161050643_01_3_0,309,2000-09-27,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000271_h28v09_061_2022161050643_01_4_0,305,2000-09-27,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000283_h28v09_061_2022161061553_01_0_0,39,2000-10-09,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000283_h28v09_061_2022161061553_01_2_0,0,2000-10-09,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000283_h28v09_061_2022161061553_01_3_0,15,2000-10-09,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000283_h28v09_061_2022161061553_01_4_0,0,2000-10-09,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000287_h28v09_061_2022161063916_01_2_0,809,2000-10-13,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000287_h28v09_061_2022161063916_01_3_0,733,2000-10-13,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000288_h28v09_061_2022161064450_01_3_0,568,2000-10-14,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000295_h28v09_061_2022161072148_01_1_0,534,2000-10-21,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000295_h28v09_061_2022161072148_01_2_0,258,2000-10-21,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000295_h28v09_061_2022161072148_01_3_0,373,2000-10-21,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000295_h28v09_061_2022161072148_01_4_0,200,2000-10-21,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000303_h28v09_061_2022161080140_01_0_0,244,2000-10-29,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000303_h28v09_061_2022161080140_01_2_0,190,2000-10-29,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000303_h28v09_061_2022161080140_01_4_0,263,2000-10-29,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000317_h28v09_061_2022161091256_01_3_0,403,2000-11-12,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000328_h28v09_061_2022161102750_01_2_0,203,2000-11-23,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000328_h28v09_061_2022161102750_01_3_0,142,2000-11-23,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000338_h28v09_061_2022161114649_01_2_0,87,2000-12-03,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000338_h28v09_061_2022161114649_01_3_0,142,2000-12-03,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000338_h28v09_061_2022161114649_01_4_0,203,2000-12-03,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000340_h28v09_061_2022161120336_01_0_0,393,2000-12-05,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000340_h28v09_061_2022161120336_01_2_0,133,2000-12-05,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000340_h28v09_061_2022161120336_01_3_0,38,2000-12-05,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000340_h28v09_061_2022161120336_01_4_0,348,2000-12-05,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000341_h28v09_061_2022161121259_01_2_0,153,2000-12-06,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000341_h28v09_061_2022161121259_01_3_0,189,2000-12-06,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000349_h28v09_061_2022161131532_01_2_0,305,2000-12-14,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2001013_h28v09_061_2022179204724_01_2_0,184,2001-01-13,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2001013_h28v09_061_2022179204724_01_3_0,296,2001-01-13,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2001024_h28v09_061_2022179214414_01_0_0,210,2001-01-24,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2001024_h28v09_061_2022179214414_01_1_0,141,2001-01-24,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2001024_h28v09_061_2022179214414_01_2_0,218,2001-01-24,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2001024_h28v09_061_2022179214414_01_3_0,137,2001-01-24,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
